wavelength,n_amorphous,n_crystalline,k_amorphous,k_crystalline
835.85419,3.11945,3.70322,0.01397,0.06684
837.42609,3.11791,3.70161,0.01333,0.06442
838.99768,3.11639,3.70002,0.0127,0.06205
840.56915,3.11487,3.69844,0.01209,0.05973
842.14032,3.11337,3.69687,0.01149,0.05747
843.71143,3.11188,3.69531,0.01091,0.05525
845.28235,3.1104,3.69377,0.01034,0.05309
846.85303,3.10893,3.69224,0.00978,0.05099
848.42352,3.10747,3.69072,0.00924,0.04893
849.99383,3.10603,3.68922,0.00871,0.04693
851.56397,3.10459,3.68772,0.0082,0.04498
853.13391,3.10317,3.68624,0.0077,0.04309
854.70374,3.10175,3.68478,0.00721,0.04125
856.27325,3.10035,3.68332,0.00673,0.03946
857.84259,3.09896,3.68188,0.00627,0.03773
859.4118,3.09757,3.68045,0.00581,0.03605
860.98077,3.0962,3.67903,0.00537,0.03443
862.54962,3.09484,3.67762,0.00494,0.03286
864.11816,3.09349,3.67622,0.00453,0.03134
865.68665,3.09215,3.67484,0.00412,0.02987
867.25476,3.09082,3.67347,0.00372,0.02845
868.82288,3.0895,3.67211,0.00334,0.02708
870.39063,3.08819,3.67076,0.00296,0.02576
871.95819,3.08688,3.66942,0.00259,0.02448
873.5257,3.08559,3.6681,0.00224,0.02325
875.0929,3.08431,3.66678,0.00189,0.02206
876.65985,3.08304,3.66548,0.00156,0.02091
878.22668,3.08178,3.66419,0.00123,0.01981
879.79333,3.08052,3.66291,0.000911,0.01874
881.35974,3.07928,3.66164,0.000602,0.01772
882.92596,3.07805,3.6522,0.000302,0.01673
884.49188,3.07682,3.64958,1.1e-05,0.01578
886.05774,3.07561,3.64702,0.0,0.01487
887.62335,3.0744,3.6445,0.0,0.01399
889.18866,3.0732,3.64204,0.0,0.01315
890.75391,3.07201,3.63963,0.0,0.01234
892.31885,3.07084,3.63726,0.0,0.01156
893.88361,3.06967,3.63494,0.0,0.01082
895.44812,3.0685,3.63267,0.0,0.01011
897.01251,3.06735,3.63045,0.0,0.00942
898.57666,3.06621,3.62827,0.0,0.00877
900.1405,3.06507,3.62614,0.0,0.00815
901.70429,3.06394,3.62405,0.0,0.00755
903.26776,3.06283,3.62201,0.0,0.00698
904.83105,3.06172,3.62001,0.0,0.00644
906.39417,3.06061,3.61805,0.0,0.00592
907.95691,3.05952,3.61614,0.0,0.00543
909.51965,3.05843,3.61427,0.0,0.00496
911.08203,3.05736,3.61244,0.0,0.00451
912.64423,3.05629,3.61065,0.0,0.00409
914.20618,3.05523,3.6089,0.0,0.00368
915.76794,3.05418,3.60719,0.0,0.0033
917.32947,3.05313,3.60553,0.0,0.00294
918.89081,3.05209,3.6039,0.0,0.0026
920.45196,3.05106,3.6023,0.0,0.00228
922.01282,3.05004,3.60075,0.0,0.00197
923.57343,3.04903,3.59924,0.0,0.00169
925.13391,3.04802,3.59776,0.0,0.00142
926.69403,3.04702,3.59631,0.0,0.00116
928.25403,3.04603,3.59491,0.0,0.000925
929.81378,3.04505,3.59354,0.0,0.000703
931.37335,3.04407,3.5922,0.0,0.000496
932.93262,3.0431,3.5909,0.0,0.000303
934.4917,3.04214,3.58963,0.0,0.000123
936.0506,3.04119,3.5884,0.0,0.0
937.60919,3.04024,3.5872,0.0,0.0
939.1676,3.0393,3.58603,0.0,0.0
940.72571,3.03837,3.58489,0.0,0.0
942.28357,3.03744,3.58379,0.0,0.0
943.84131,3.03652,3.58272,0.0,0.0
945.39874,3.03561,3.58168,0.0,0.0
946.95593,3.0347,3.58066,0.0,0.0
948.51288,3.0338,3.57968,0.0,0.0
950.06964,3.03291,3.57873,0.0,0.0
951.62616,3.03202,3.57781,0.0,0.0
953.18243,3.03114,3.57692,0.0,0.0
954.73846,3.03027,3.57605,0.0,0.0
956.29425,3.0294,3.57522,0.0,0.0
957.84979,3.02854,3.57441,0.0,0.0
959.40515,3.02768,3.57363,0.0,0.0
960.96027,3.02684,3.57288,0.0,0.0
962.51501,3.02599,3.57215,0.0,0.0
964.06964,3.02516,3.57145,0.0,0.0
965.62402,3.02433,3.57078,0.0,0.0
967.1781,3.0235,3.57013,0.0,0.0
