g_nm,t_pcm_nm,t_gap_pcm_nm,D_antisym,D_sym,delta_D,Amax_antisym,Amax_sym,Omega_antisym,Omega_sym,eta_pcm_avg_antisym,eta_pcm_avg_sym,loss_eff_antisym,loss_eff_sym,sym_mode1,sym_mode2,antisym_mode1,antisym_mode2,L_design_um,P_antisym,P_sym,ER_dB
290.00000000000006,10.0,20.0,0.1607176219493523,0.01570340496410677,-0.14501421698524553,0.974169845994945,0.9997534030725332,45303.77950376928,43727.64950412602,0.006551949483462935,0.006729412084342313,2.9834701452108288,0.0,1,2,1,2,35.92226759516723,0.9686570114826983,0.9997534030725332,0.1372286471726169
290.00000000000006,10.0,25.000000000000004,0.14660429294145938,0.015734518401786746,-0.13086977453967263,0.9785071812911348,0.9997524249306639,45208.422907135304,43869.56619457877,0.005999232154021749,0.006162129167740955,2.7685718268837074,0.0,1,2,1,2,35.80606017000025,0.974034271282027,0.9997524249306639,0.11318228453590501
290.00000000000006,10.0,30.000000000000004,0.133607827890447,0.015762056669947566,-0.11784577122049944,0.9821489483263967,0.9997515575695334,45134.12726842172,43996.637270533145,0.005498896147198932,0.0056485070314129795,2.565906380996573,0.0,1,2,1,2,35.70264511662897,0.978463853920965,0.9997515575695334,0.09347302686788167
290.00000000000006,10.0,35.0,0.12164709069613738,0.015787038449237456,-0.10586005224689993,0.9852019853251657,0.9997507694170022,45076.83406558751,44110.37254182488,0.005044484484268891,0.005181986060225628,2.3756164833088844,0.0,1,2,1,2,35.61058853686824,0.9821205377728547,0.9997507694170022,0.07726954085502716
290.00000000000006,10.0,40.0,0.11064505916859718,0.01580989486605905,-0.09483516430253813,0.9877576708815776,0.9997500472243241,45033.190465613436,44212.104909300644,0.0046307762388680986,0.00475723603062256,2.197582707113904,0.0,1,2,1,2,35.52864831966996,0.985144639776246,0.9997500472243241,0.06391434654731404
290.00000000000006,10.0,45.00000000000001,0.10052862642432431,0.015830863814265017,-0.08469776261005929,0.9898939952692386,0.9997493837508942,45000.43965475891,44303.021158352116,0.004253424130012234,0.0043698055011995125,2.031498551211698,0.0,1,2,1,2,35.45573836105681,0.9876494612379324,0.9997493837508942,0.05288313941447812
290.00000000000006,10.0,50.00000000000001,0.0912288371614079,0.01585010706411427,-0.07537873009729362,0.9916772992701773,0.9997487741060561,44976.32377938698,44384.18395897281,0.003908729078500699,0.00401590023551652,1.8769282858693501,0.0,1,2,1,2,35.390902494611275,0.989726884145297,0.9997487741060561,0.043755130217809524
300.00000000000006,10.0,0.0,0.24619839131557977,0.014451000612936749,-0.23174739070264302,0.9393863521136206,0.9997911685812849,43027.472212690205,39692.56299777383,0.009327957130501396,0.009593153146622312,3.923126556571571,0.0,1,2,1,2,39.574071517704596,0.919825098371106,0.9997911685812849,0.3620404062596311
300.00000000000006,10.0,5.0,0.2236900908873053,0.014580279228314341,-0.20910981165899095,0.9499627432388291,0.9997874154576244,42680.558490286174,39950.003272127055,0.008624445256458366,0.00885279325671834,3.6357250745426763,0.0,1,2,1,2,39.31905377066225,0.935968808564109,0.9997874154576244,0.28646289903671457
300.00000000000006,10.0,10.0,0.20651473960698719,0.014676191316243425,-0.19183854829074376,0.9573516623250583,0.999784609408449,42453.78321588073,40136.736881595825,0.007849542244760319,0.00806008239627073,3.401121685475956,0.0,1,2,1,2,39.13612437973663,0.94659534175012,0.999784609408449,0.23742084029833488
300.00000000000006,10.0,15.000000000000002,0.19030531593732658,0.014763982919065888,-0.1755413330182607,0.9637838867259944,0.9997820248083655,42270.31887470687,40303.601950995246,0.007164099548377777,0.007357467495766482,3.173360594657927,0.0,1,2,1,2,38.974092903776004,0.9554076761291348,0.9997820248083655,0.19716598000513744
